ddl_dml_name,ddl_dml_page_name,ddl_dml_url,ddl_dml_category_array,ddl_dml_category,ddl_dml_description
alter,alter,https://docs.snowflake.com/en/sql-reference/sql/alter,ddl,ddl,"Modifies the metadata of an account-level or database object, or the parameters for a session."
alter account,alter-account,https://docs.snowflake.com/en/sql-reference/sql/alter-account,ddl,ddl,Modifies an account.
alter aggregation policy,alter-aggregation-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-aggregation-policy,ddl,ddl,Replaces the existing rules or comment of an aggregation policy.
alter alert,alter-alert,https://docs.snowflake.com/en/sql-reference/sql/alter-alert,ddl,ddl,Modifies the properties of an existing alert and suspends or resumes an existing alert.
alter api integration,alter-api-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-api-integration,ddl,ddl,Modifies the properties of an existing API integration.
alter application,alter-application,https://docs.snowflake.com/en/sql-reference/sql/alter-application,ddl,ddl,Modifies the properties of an installed
alter application package,alter-application-package,https://docs.snowflake.com/en/sql-reference/sql/alter-application-package,ddl,ddl,Modifies the properties of an existing application package in the Native Apps Framework.
alter application role,alter-application-role,https://docs.snowflake.com/en/sql-reference/sql/alter-application-role,ddl,ddl,Modifies the properties for an existing application role.
alter authentication policy,alter-authentication-policy,https://docs.snowflake.com/en/sql-reference/sql/alter-authentication-policy,ddl,ddl,Modifies the properties of an authentication policy.
alter catalog integration,alter-catalog-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-catalog-integration,ddl,ddl,Modifies the properties of an existing catalog integration.
alter compute pool,alter-compute-pool,https://docs.snowflake.com/en/sql-reference/sql/alter-compute-pool,ddl,ddl,Modifies the properties of an existing compute pool.
alter connection,alter-connection,https://docs.snowflake.com/en/sql-reference/sql/alter-connection,ddl,ddl,Modifies the properties for an existing connection.
alter cortex search service,alter-cortex-search,https://docs.snowflake.com/en/sql-reference/sql/alter-cortex-search,ddl,ddl,"Suspends, resumes, or modifies the properties of an existing Cortex Search service."
alter database,alter-database,https://docs.snowflake.com/en/sql-reference/sql/alter-database,ddl,ddl,Modifies the properties for an existing database.
alter database role,alter-database-role,https://docs.snowflake.com/en/sql-reference/sql/alter-database-role,ddl,ddl,Modifies the properties for an existing database role.
alter dataset,alter-dataset,https://docs.snowflake.com/en/sql-reference/sql/alter-dataset,ddl,ddl,Modifies a dataset by adding or dropping dataset versions.
alter dynamic table,alter-dynamic-table,https://docs.snowflake.com/en/sql-reference/sql/alter-dynamic-table,ddl,ddl,Modifies the properties of a dynamic table.
alter external access integration,alter-external-access-integration,https://docs.snowflake.com/en/sql-reference/sql/alter-external-access-integration,ddl,ddl,Modifies the properties of an existing external access integration.
alter external table,alter-external-table,https://docs.snowflake.com/en/sql-reference/sql/alter-external-table,ddl,ddl,"Modifies the properties, columns, or constraints for an existing external table."
