page_name,category_name
array_union_agg,Aggregate
avg,Aggregate
corr,Aggregate
count,Aggregate
count_if,Aggregate
covar_pop,Aggregate
covar_samp,Aggregate
listagg,Aggregate
max,Aggregate
max_by,Aggregate
median,Aggregate
min,Aggregate
min_by,Aggregate
mode,Aggregate
percentile_cont,Aggregate
percentile_disc,Aggregate
stddev,Aggregate
stddev_pop,Aggregate
sum,Aggregate
var_pop,Aggregate
var_samp,Aggregate
booland_agg,Aggregate
boolor_agg,Aggregate
boolxor_agg,Aggregate
regr_avgx,Aggregate
regr_avgy,Aggregate
regr_count,Aggregate
regr_intercept,Aggregate
regr_r2,Aggregate
regr_slope,Aggregate
regr_sxx,Aggregate
regr_sxy,Aggregate
regr_syy,Aggregate
kurtosis,Aggregate
skew,Aggregate
approx_count_distinct,Aggregate
hll,Aggregate
hll_accumulate,Aggregate
hll_combine,Aggregate
hll_estimate,Aggregate
hll_export,Aggregate
approximate_jaccard_index,Aggregate
approximate_similarity,Aggregate
minhash,Aggregate
minhash_combine,Aggregate
approx_top_k,Aggregate
approx_top_k_accumulate,Aggregate
approx_top_k_combine,Aggregate
approx_top_k_estimate,Aggregate
approx_percentile,Aggregate
approx_percentile_accumulate,Aggregate
approx_percentile_combine,Aggregate
approx_percentile_estimate,Aggregate
grouping,Aggregate
grouping_id,Aggregate
bitand,Bitwise expression
bitand_agg,Bitwise expression
bitnot,Bitwise expression
bitor,Bitwise expression
bitor_agg,Bitwise expression
bitshiftleft,Bitwise expression
bitshiftright,Bitwise expression
bitxor,Bitwise expression
bitxor_agg,Bitwise expression
getbit,Bitwise expression
between,Conditional expression
booland,Conditional expression
boolnot,Conditional expression
boolor,Conditional expression
boolxor,Conditional expression
case,Conditional expression
coalesce,Conditional expression
decode,Conditional expression
equal_null,Conditional expression
greatest,Conditional expression
greatest_ignore_nulls,Conditional expression
iff,Conditional expression
ifnull,Conditional expression
in,Conditional expression
is-distinct-from,Conditional expression
is-null,Conditional expression
least,Conditional expression
least_ignore_nulls,Conditional expression
